w_conf,level,method,quartile,n,accuracy,verification_share
0.5,L3,confidence,Q4_high,1500,0.498,0.204
0.5,L3,intuition,Q1_low,1500,0.9153333333333333,0.024
0.5,L3,intuition,Q2,1500,0.8126666666666666,0.09333333333333334
0.5,L3,intuition,Q3,1500,0.7193333333333334,0.22533333333333333
0.5,L3,intuition,Q4_high,1500,0.6806666666666666,0.4573333333333333
0.5,L4,confidence,Q1_low,1500,0.938,0.202
0.5,L4,confidence,Q2,1500,0.84,0.18533333333333332
0.5,L4,confidence,Q3,1500,0.7146666666666667,0.20866666666666667
0.5,L4,confidence,Q4_high,1500,0.498,0.204
0.5,L4,intuition,Q1_low,1500,0.9106666666666666,0.0006666666666666666
0.5,L4,intuition,Q2,1500,0.786,0.028
0.5,L4,intuition,Q3,1500,0.7006666666666667,0.19066666666666668
0.5,L4,intuition,Q4_high,1500,0.7673333333333333,0.5806666666666667
1.1,L0,confidence,Q1_low,1500,0.9386666666666666,0.198
1.1,L0,confidence,Q2,1500,0.8186666666666667,0.198
1.1,L0,confidence,Q3,1500,0.73,0.20133333333333334
1.1,L0,confidence,Q4_high,1500,0.5433333333333333,0.20266666666666666
1.1,L0,intuition,Q1_low,1500,0.9386666666666666,0.19866666666666666
1.1,L0,intuition,Q2,1500,0.8193333333333334,0.19866666666666666
1.1,L0,intuition,Q3,1500,0.7306666666666667,0.20066666666666666
1.1,L0,intuition,Q4_high,1500,0.5426666666666666,0.202
1.1,L1,confidence,Q1_low,1500,0.9386666666666666,0.198
1.1,L1,confidence,Q2,1500,0.8186666666666667,0.198
1.1,L1,confidence,Q3,1500,0.73,0.20133333333333334
1.1,L1,confidence,Q4_high,1500,0.5433333333333333,0.20266666666666666
1.1,L1,intuition,Q1_low,1500,0.9386666666666666,0.198
1.1,L1,intuition,Q2,1500,0.8186666666666667,0.198
1.1,L1,intuition,Q3,1500,0.73,0.20133333333333334
1.1,L1,intuition,Q4_high,1500,0.5433333333333333,0.20266666666666666
1.1,L2,confidence,Q1_low,1500,0.9386666666666666,0.198
1.1,L2,confidence,Q2,1500,0.8186666666666667,0.198
1.1,L2,confidence,Q3,1500,0.73,0.20133333333333334
1.1,L2,confidence,Q4_high,1500,0.5433333333333333,0.20266666666666666
1.1,L2,intuition,Q1_low,1500,0.9153333333333333,0.11533333333333333
1.1,L2,intuition,Q2,1500,0.8073333333333333,0.17866666666666667
1.1,L2,intuition,Q3,1500,0.736,0.226
1.1,L2,intuition,Q4_high,1500,0.6073333333333333,0.28
1.1,L3,confidence,Q1_low,1500,0.9386666666666666,0.198
1.1,L3,confidence,Q2,1500,0.8186666666666667,0.198
1.1,L3,confidence,Q3,1500,0.73,0.20133333333333334
1.1,L3,confidence,Q4_high,1500,0.5433333333333333,0.20266666666666666
1.1,L3,intuition,Q1_low,1500,0.896,0.04066666666666666
1.1,L3,intuition,Q2,1500,0.7886666666666666,0.13933333333333334
1.1,L3,intuition,Q3,1500,0.7513333333333333,0.24
1.1,L3,intuition,Q4_high,1500,0.674,0.38
1.1,L4,confidence,Q1_low,1500,0.9386666666666666,0.198
1.1,L4,confidence,Q2,1500,0.8186666666666667,0.198
1.1,L4,confidence,Q3,1500,0.73,0.20133333333333334
1.1,L4,confidence,Q4_high,1500,0.5433333333333333,0.20266666666666666
1.1,L4,intuition,Q1_low,1500,0.886,0.005333333333333333
1.1,L4,intuition,Q2,1500,0.754,0.06733333333333333
1.1,L4,intuition,Q3,1500,0.746,0.228
1.1,L4,intuition,Q4_high,1500,0.7753333333333333,0.49933333333333335
2.0,L0,confidence,Q1_low,1500,0.9173333333333333,0.216
2.0,L0,confidence,Q2,1500,0.7986666666666666,0.20333333333333334
2.0,L0,confidence,Q3,1500,0.7106666666666667,0.18466666666666667
2.0,L0,confidence,Q4_high,1500,0.5553333333333333,0.196
2.0,L0,intuition,Q1_low,1500,0.918,0.216
2.0,L0,intuition,Q2,1500,0.7966666666666666,0.20266666666666666
2.0,L0,intuition,Q3,1500,0.7113333333333334,0.186
2.0,L0,intuition,Q4_high,1500,0.5546666666666666,0.19533333333333333
2.0,L1,confidence,Q1_low,1500,0.9173333333333333,0.216
2.0,L1,confidence,Q2,1500,0.7986666666666666,0.20333333333333334
2.0,L1,confidence,Q3,1500,0.7106666666666667,0.18466666666666667
2.0,L1,confidence,Q4_high,1500,0.5553333333333333,0.196
2.0,L1,intuition,Q1_low,1500,0.9173333333333333,0.216
2.0,L1,intuition,Q2,1500,0.7986666666666666,0.20333333333333334
2.0,L1,intuition,Q3,1500,0.7106666666666667,0.18466666666666667
2.0,L1,intuition,Q4_high,1500,0.5553333333333333,0.196
2.0,L2,confidence,Q1_low,1500,0.9173333333333333,0.216
2.0,L2,confidence,Q2,1500,0.7986666666666666,0.20333333333333334
2.0,L2,confidence,Q3,1500,0.7106666666666667,0.18466666666666667
2.0,L2,confidence,Q4_high,1500,0.5553333333333333,0.196
2.0,L2,intuition,Q1_low,1500,0.8926666666666667,0.16333333333333333
2.0,L2,intuition,Q2,1500,0.786,0.19066666666666668
2.0,L2,intuition,Q3,1500,0.716,0.19733333333333333
2.0,L2,intuition,Q4_high,1500,0.606,0.24866666666666667
2.0,L3,confidence,Q1_low,1500,0.9173333333333333,0.216
2.0,L3,confidence,Q2,1500,0.7986666666666666,0.20333333333333334
2.0,L3,confidence,Q3,1500,0.7106666666666667,0.18466666666666667
2.0,L3,confidence,Q4_high,1500,0.5553333333333333,0.196
2.0,L3,intuition,Q1_low,1500,0.8666666666666667,0.094
2.0,L3,intuition,Q2,1500,0.766,0.16066666666666668
2.0,L3,intuition,Q3,1500,0.7326666666666667,0.21666666666666667
2.0,L3,intuition,Q4_high,1500,0.672,0.32866666666666666
2.0,L4,confidence,Q1_low,1500,0.9173333333333333,0.216
2.0,L4,confidence,Q2,1500,0.7986666666666666,0.20333333333333334
2.0,L4,confidence,Q3,1500,0.7106666666666667,0.18466666666666667
2.0,L4,confidence,Q4_high,1500,0.5553333333333333,0.196
2.0,L4,intuition,Q1_low,1500,0.838,0.028666666666666667
2.0,L4,intuition,Q2,1500,0.746,0.124
2.0,L4,intuition,Q3,1500,0.744,0.23333333333333334
2.0,L4,intuition,Q4_high,1500,0.7473333333333333,0.414
